pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_orbeccen,pl_insol,pl_eqt,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,st_age,rastr,ra,decstr,dec,sy_dist,sy_bmag,sy_vmag,hwc
24 Sex c,24 Sex,1,1,2,Radial Velocity,2010,883.0,2.08,,,273.32,0.86,Msini,0.29,,,,5098.0,4.9,1.54,-0.03,[Fe/H],3.5,2.7,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,72.0691,7.399,6.4535,0
2M0437 b,2MASS J04372171+2651014,1,1,1,Imaging,2021,,118.0,,,1271.31363,4.0,Mass,,,1450.0,M V,3100.0,0.84,0.17,0.01,[Fe/H],4.5,2.5,04h37m21.73s,69.3405531,+26d51m01.08s,26.8502997,128.484,17.237,16.186,0
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,1,2,1,Imaging,2013,,84.0,,,4131.79,13.0,Mass,,,,M5.5/M6,,,0.19,,,,0.03,01h03m35.82s,15.8992489,-55d15m56.98s,-55.2658291,,16.993,15.788,0
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,1,Imaging,2013,,52.0,,,7786.5,24.5,Mass,,,,M3.5 V,3530.0,,0.4,,,,0.12,01h22m51.07s,20.7128012,-24d39m52.61s,-24.6646128,33.8281,15.706,14.244,0
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,1,Imaging,2015,,156.0,16.141,1.44,4417.837,13.9,Mass,,,,M6,3064.0,0.28,0.11,,,4.59,0.035,02h19m22.25s,34.8427046,-39d25m23.08s,-39.4230767,,18.549,,0
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,1,Imaging,2010,,15.0,,,2383.6,7.5,Mass,,,,M8.5,,,0.02,,,,0.001,04h41m44.91s,70.4371079,+23d01m51.08s,23.0308544,,,,0
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,1,Imaging,2004,,55.0,,,1589.15,5.0,Mass,,,1250.0,M8,,,0.02,,,,0.008,12h07m33.38s,181.8890906,-39d32m54.38s,-39.5484399,64.308,,,0
2MASS J19383260+4603591 b,2MASS J19383260+4603591,1,2,3,Eclipse Timing Variations,2015,406.0,,,,591.16084,1.86,Msini,0.33,,,,29564.0,0.2,0.48,,,5.51,,19h38m32.62s,294.6359173,+46d03m59.07s,46.0664076,396.332,12.112,12.651,0
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,1,Imaging,2016,,230.0,,,3972.875,12.5,Mass,,,,K7 V,4045.0,,0.6,,,,0.12,22h36m24.62s,339.1025931,+47d51m42.06s,47.861683,69.5737,13.731,12.368,0
30 Ari B b,30 Ari B,1,4,1,Radial Velocity,2009,335.10001,0.99,,,4392.4106,13.82,Msini,0.29,,,,6331.0,1.41,1.93,0.19,[Fe/H],4.43,,02h36m57.91s,39.2412736,+24d38m52.84s,24.6480103,44.657,7.458,7.09209,0
4 UMa b,4 UMa,1,1,1,Radial Velocity,2006,270.27,0.877,,,2511.48007,7.902,Msini,0.453,,,K1 III,4415.0,18.11,1.23,-0.25,[Fe/H],1.8,4.604,08h40m12.67s,130.0528099,+64d19m40.98s,64.3280504,73.4603,5.77,4.5801,0
42 Dra b,42 Dra,1,2,1,Radial Velocity,2008,479.1,1.19,,,1233.13,3.88,Msini,0.38,,,K1.5 III,4200.0,22.03,0.98,-0.46,[Fe/H],1.71,9.49,18h25m59.40s,276.4975053,+65d33m48.11s,65.5633652,90.6545,6.005,4.8262,0
47 UMa b,47 UMa,1,1,3,Radial Velocity,1996,1078.0,2.1,,,804.08,2.53,Msini,0.032,,,,5872.0,1.21,1.06,0.04,[M/H],4.3,,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.7967,5.646,5.03352,0
47 UMa c,47 UMa,1,1,3,Radial Velocity,2001,2391.0,3.6,,,171.621,0.54,Msini,0.098,,,,5872.0,1.21,1.06,0.04,[M/H],4.3,,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.7967,5.646,5.03352,0
47 UMa d,47 UMa,1,1,3,Radial Velocity,2009,14002.0,11.6,,,521.22,1.64,Msini,0.16,,,,5872.0,1.21,1.06,0.04,[M/H],4.3,,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.7967,5.646,5.03352,0
51 Eri b,51 Eri,1,3,1,Imaging,2015,,13.2,,,635.66,2.0,Mass,,,700.0,F0 IV,,,1.75,-0.027,[M/H],,0.02,04h37m36.18s,69.4007424,-02d28m25.77s,-2.4738245,29.7575,5.486,5.21149,0
51 Peg b,51 Peg,1,1,1,Radial Velocity,1995,4.230785,0.0527,,,150.009,0.472,Msini,0.013,,,,5758.0,1.18,1.03,0.18,[M/H],4.31,,22h57m28.21s,344.3675399,+20d46m08.74s,20.7690958,15.4614,6.104,5.45309,0
55 Cnc b,55 Cnc,1,2,5,Radial Velocity,1996,14.6516,0.1134,,,255.4,0.8036,Msini,0.0,,,,5172.0,0.94,0.91,0.35,[Fe/H],4.43,,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855,6.816,5.95084,0
