pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_orbeccen,pl_insol,pl_eqt,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,st_age,rastr,ra,decstr,dec,sy_dist,sy_bmag,sy_vmag,hwc
GJ 680 b,GJ 680,1,2,1,Radial Velocity,2022,17281.66514,10.138,,,7977.49302,25.1,Mass,0.381,,,,,,0.46,,,,,17h35m13.73s,263.8072214,-48d40m43.83s,-48.6788427,9.67315,11.645,10.129,0
GJ 682 b,GJ 682,1,1,2,Radial Velocity,2014,17.478,0.08,,,4.4,0.01384,Msini,0.08,,,M3.5 V,3028.0,,0.27,,,,,17h37m02.65s,264.2610245,-44d19m23.71s,-44.3232519,5.00671,1.931,10.94,1
GJ 682 c,GJ 682,1,1,2,Radial Velocity,2014,57.32,0.176,,,8.7,0.02737,Msini,0.1,,,M3.5 V,3028.0,,0.27,,,,,17h37m02.65s,264.2610245,-44d19m23.71s,-44.3232519,5.00671,1.931,10.94,0
GJ 685 b,GJ 685,1,1,1,Radial Velocity,2019,24.16,0.1344,,,9.0,0.02832,Msini,0.0,,,M0.5,3816.0,0.54,0.55,-0.15,[Fe/H],4.72,,17h35m35.05s,263.8960378,+61d40m45.65s,61.6793482,14.3155,11.401,9.98,0
GJ 687 b,GJ 687,1,1,2,Radial Velocity,2014,38.142,0.163,,,17.2,0.05412,Msini,0.17,,,,,,0.4,,,,,17h36m25.00s,264.1041731,+68d20m01.23s,68.3336741,4.54939,10.617,9.15,0
GJ 687 c,GJ 687,1,1,2,Radial Velocity,2020,727.562,1.165,,,16.0,0.05034,Msini,0.4,,,,,,0.4,,,,,17h36m25.00s,264.1041731,+68d20m01.23s,68.3336741,4.54939,10.617,9.15,0
GJ 720 A b,GJ 720 A,1,2,1,Radial Velocity,2021,19.466,0.119,,,13.64,0.04292,Msini,0.12,,401.0,M0.5 V,3837.0,0.56,0.57,-0.14,[Fe/H],4.71,,18h35m19.06s,278.8294172,+45d44m44.17s,45.7456038,15.5575,11.163,9.84,0
GJ 724 b,GJ 724,1,1,1,Radial Velocity,2023,5.101284,0.04685,,,10.75,0.03382,Msini,0.577,23.32,611.0,M1.0 V,3799.0,0.52,0.53,-0.02,[Fe/H],4.88,,18h40m57.21s,280.238365,-13d22m57.00s,-13.3824997,16.9658,12.093,10.638,0
GJ 740 b,GJ 740,1,1,1,Radial Velocity,2021,2.37756,0.029,,,2.96,0.00931,Msini,0.24,79.0,829.0,M1.0 V,3913.0,0.56,0.58,0.08,[Fe/H],4.68,,18h57m59.93s,284.4997178,+05d54m10.32s,5.902867,11.1017,10.616,9.22,0
GJ 806 b,GJ 806,1,1,2,Transit,2023,0.9263237,0.01406,1.331,0.119,1.9,0.00598,Mass,,130.0,940.0,M1.5 V,3600.0,0.41,0.41,-0.28,[Fe/H],4.98,5.0,20h45m04.73s,311.2697002,+44d30m00.85s,44.5002351,12.0445,12.495,10.79,0
GJ 806 c,GJ 806,1,1,2,Radial Velocity,2023,6.64064,0.0523,,,5.8,0.01825,Msini,,9.5,490.0,M1.5 V,3600.0,0.41,0.41,-0.28,[Fe/H],4.98,5.0,20h45m04.73s,311.2697002,+44d30m00.85s,44.5002351,12.0445,12.495,10.79,0
GJ 832 b,GJ 832,1,1,1,Radial Velocity,2008,3853.0,3.7,,,314.65012,0.99,Mass,0.05,,,M2/3 V,,,0.45,,,,8.1,21h33m33.90s,323.3912616,-49d00m45.06s,-49.0125169,4.96435,10.34,8.66,0
GJ 849 b,GJ 849,1,1,2,Radial Velocity,2006,1925.31,2.32,,,283.82077,0.893,Msini,0.029,,,M3.5,3467.0,0.45,0.45,0.09,[Fe/H],4.8,,22h09m41.52s,332.4229938,-04d38m26.99s,-4.6408317,8.80058,11.582,10.41,0
GJ 849 c,GJ 849,1,1,2,Radial Velocity,2014,5990.0,4.95,,,314.65012,0.99,Msini,0.092,,,M3.5,3467.0,0.45,0.45,0.09,[Fe/H],4.8,,22h09m41.52s,332.4229938,-04d38m26.99s,-4.6408317,8.80058,11.582,10.41,0
GJ 86 b,GJ 86,1,2,1,Radial Velocity,1999,15.76491,0.11,,,1404.8086,4.42,Msini,0.04,,,,5182.0,0.77,0.93,-0.22,[Fe/H],4.63,,02h10m29.39s,32.6224785,-50d49m15.58s,-50.8209945,10.7836,6.945,6.12,0
GJ 876 b,GJ 876,1,1,4,Radial Velocity,1998,61.1166,0.208317,,,723.2235,2.2756,Mass,0.0324,,,,,0.3,0.32,,,,1.0,22h53m17.75s,343.3239737,-14d15m59.74s,-14.2665958,4.67517,11.73,10.16,0
GJ 876 c,GJ 876,1,1,4,Radial Velocity,2000,30.0881,0.12959,,,226.9846,0.7142,Mass,0.25591,,,,,0.3,0.32,,,,1.0,22h53m17.75s,343.3239737,-14d15m59.74s,-14.2665958,4.67517,11.73,10.16,0
GJ 876 d,GJ 876,1,1,4,Radial Velocity,2005,1.93778,0.020807,,,6.83,0.021,Mass,0.207,,,,,0.3,0.32,,,,1.0,22h53m17.75s,343.3239737,-14d15m59.74s,-14.2665958,4.67517,11.73,10.16,0
GJ 876 e,GJ 876,1,1,4,Radial Velocity,2010,124.26,0.3343,,,14.6,0.046,Mass,0.055,,,,,0.3,0.32,,,,1.0,22h53m17.75s,343.3239737,-14d15m59.74s,-14.2665958,4.67517,11.73,10.16,0
GJ 887 b,GJ 887,1,1,2,Radial Velocity,2020,9.262,0.068,,,4.2,0.01321,Msini,0.0,7.95,468.0,M1 V,3688.0,0.47,0.49,-0.06,[Fe/H],4.78,2.88,23h05m52.04s,346.4668274,-35d51m11.0s,-35.8530693,3.29,,,0
GJ 887 c,GJ 887,1,1,2,Radial Velocity,2020,21.789,0.12,,,7.6,0.02391,Msini,,2.56,352.0,M1 V,3688.0,0.47,0.49,-0.06,[Fe/H],4.78,2.88,23h05m52.04s,346.4668274,-35d51m11.0s,-35.8530693,3.29,,,0
GJ 896 A b,GJ 896 A,1,2,1,Astrometry,2022,284.39,0.63965,,,718.2922,2.26,Mass,0.35,,,M3.5 V,,,0.44,,,,,23h31m52.81s,352.9700384,+19d56m13.20s,19.9370011,6.26022,11.85,10.05,0
GJ 9066 c,GJ 9066,1,1,1,Radial Velocity,2020,771.36,0.88,,,66.74397,0.21,Msini,0.46,,,M5.0 V,3154.0,0.16,0.15,-0.13,[Fe/H],5.01,,02h00m14.12s,30.0588307,+13d02m39.54s,13.0443172,4.471,,12.71,0
GJ 9404 b,GJ 9404,1,1,1,Radial Velocity,2023,13.4586,0.0943,,,11.9,0.03744,Msini,0.49,,,,,,0.62,,,,,12h19m23.33s,184.8472095,+28d22m57.77s,28.3827126,23.8839,12.037,10.62,0
GJ 96 b,GJ 96,1,1,1,Radial Velocity,2018,73.94,0.291,,,19.66,0.06186,Msini,0.44,,,M2,3785.0,,0.6,0.14,[Fe/H],,,02h22m14.98s,35.5624031,+47d52m48.75s,47.8802075,11.9315,10.821,9.4,0
GJ 9689 b,GJ 9689,1,1,1,Radial Velocity,2020,18.27,0.1139,,,9.65,0.03036,Msini,0.29,,453.0,M0.5,3836.0,0.57,0.59,0.05,[Fe/H],4.69,8.9,20h13m52.26s,303.467731,+13d23m20.01s,13.3888921,30.6203,12.728,11.297,0
GJ 9714 b,GJ 9714,1,1,1,Radial Velocity,2022,19240.75467,12.319,,,2988.54051,9.403,Mass,0.155,,,,,,0.67,,,,,21h01m39.40s,315.4141767,-32d31m30.01s,-32.5250028,20.5121,10.613,9.37,0
GJ 9827 b,GJ 9827,1,1,3,Transit,2017,1.2089819,0.0188,1.577,0.141,5.14,0.01617,Mass,0.063,318.0,1175.0,,4305.0,0.6,0.61,-0.26,[Fe/H],,10.0,23h27m05.23s,351.7717763,-01d17m07.24s,-1.2853435,29.661,11.588,10.37,0
GJ 9827 c,GJ 9827,1,1,3,Transit,2017,3.648096,0.03925,1.241,0.111,1.3,0.00409,Mass,0.094,73.0,813.0,,4305.0,0.6,0.61,-0.26,[Fe/H],,10.0,23h27m05.23s,351.7717763,-01d17m07.24s,-1.2853435,29.661,11.588,10.37,0
GJ 9827 d,GJ 9827,1,1,3,Transit,2017,6.20147,0.0559,2.022,0.18,3.53,0.01111,Mass,0.13,36.0,681.0,,4305.0,0.6,0.61,-0.26,[Fe/H],,10.0,23h27m05.23s,351.7717763,-01d17m07.24s,-1.2853435,29.661,11.588,10.37,0
GPX-1 b,GPX-1,1,1,1,Transit,2021,1.744579,0.0338,16.477,1.47,6261.21962,19.7,Mass,0.0,4650.0,2300.0,F2,7000.0,1.56,1.68,0.35,[Fe/H],4.27,0.27,02h33m28.60s,38.3691648,+56d01m32.55s,56.025708,655.013,12.74,12.316,0
GQ Lup b,GQ Lup,1,1,1,Imaging,2004,,100.0,33.6,3.0,6356.0,20.0,Mass,,,2650.0,K7e V,,,0.7,,,,0.001,15h49m12.09s,237.3003643,-35d39m05.42s,-35.6515055,151.169,12.76,11.593,0
GSC 06214-00210 b,GSC 06214-00210,1,1,1,Imaging,2010,,320.0,,,5000.0,16.0,Mass,,,2300.0,K7,4200.0,,0.9,,,,0.005,16h21m54.65s,245.4776921,-20d43m09.62s,-20.7193398,108.5,13.645,12.416,0
GU Psc b,GU Psc,1,1,1,Imaging,2014,,2000.0,14.179,1.265,3591.3,11.3,Mass,,,1050.0,M3,,,0.33,0.1,[Fe/H],,0.1,01h12m35.16s,18.146485,+17d03m54.01s,17.0650029,47.5501,15.576,14.146,0
Gaia-1 b,Gaia-1,1,1,1,Transit,2022,3.052524,0.04047,13.776,1.229,533.95172,1.68,Mass,,,,,5470.0,0.95,0.95,,,,,06h02m34.48s,90.6436658,-00d34m37.60s,-0.5771099,363.66,13.956,13.242,0
Gaia-2 b,Gaia-2,1,1,1,Transit,2022,3.6915224,0.0467,14.818,1.322,259.66581,0.817,Mass,,,,,5720.0,1.06,1.0,,,,,07h22m56.48s,110.7353308,+67d15m09.56s,67.2526565,209.229,11.816,11.277,0
Gl 378 b,Gl 378,1,1,1,Radial Velocity,2019,3.822,0.039435,,,13.02,0.04097,Msini,0.109,,830.0,M1,3879.0,0.56,0.56,0.06,[Fe/H],,,10h02m20.77s,150.5865513,+48d04m56.83s,48.0824515,14.9545,11.366,10.03,0
Gl 49 b,Gl 49,1,2,1,Radial Velocity,2019,13.8508,0.0905,,,5.63,0.01771,Msini,0.363,,,M1.5 V,3805.0,0.51,0.52,0.13,[Fe/H],4.69,,01h02m40.50s,15.6687321,+62d20m43.58s,62.3454386,9.8528,11.018,9.56,0
Gl 686 b,Gl 686,1,1,1,Radial Velocity,2018,15.53,0.091,,,6.624,0.02084,Msini,0.05,,,,3656.0,0.43,0.43,-0.23,[Fe/H],4.87,,17h37m54.36s,264.4764878,+18d35m45.42s,18.5959509,8.15728,11.01,9.62,0
HAT-P-1 b,HAT-P-1,1,2,1,Transit,2006,4.46529976,0.05561,14.785,1.319,166.86075,0.525,Mass,,,1322.0,,5980.0,1.17,1.15,0.13,[Fe/H],4.36,,22h57m46.89s,344.4453632,+38d40m29.71s,38.674919,158.979,,9.827,0
HAT-P-11 b,HAT-P-11,1,1,2,Transit,2008,4.88780244,0.05254,4.36,0.389,23.4,0.07362,Msini,0.218,,,,4780.0,0.68,0.81,0.31,[Fe/H],,6.5,19h50m50.44s,297.7101763,+48d04m54.71s,48.0818635,37.7647,10.556,9.46,0
HAT-P-11 c,HAT-P-11,1,1,2,Radial Velocity,2018,3407.0,4.13,,,507.0,1.59519,Msini,0.601,,,,4780.0,0.68,0.81,0.31,[Fe/H],,6.5,19h50m50.44s,297.7101763,+48d04m54.71s,48.0818635,37.7647,10.556,9.46,0
HAT-P-12 b,HAT-P-12,1,1,1,Transit,2009,3.2130598,0.0384,10.749,0.959,67.059,0.211,Mass,0.0,,963.0,K4,4650.0,0.7,0.73,-0.29,[Fe/H],4.61,2.5,13h57m33.27s,209.3886452,+43d29m35.92s,43.49331,142.751,13.851,12.665,0
HAT-P-13 b,HAT-P-13,1,1,2,Transit,2009,2.91625,,14.258,1.272,270.462,0.851,Mass,0.0133,,,,,,,,,,,08h39m31.77s,129.8823772,+47d21m06.87s,47.3519076,246.81,11.147,10.421,0
HAT-P-13 c,HAT-P-13,1,1,2,Radial Velocity,2009,446.27,,,,4538.421,14.28,Msini,0.6616,,,,,,,,,,,08h39m31.77s,129.8823772,+47d21m06.87s,47.3519076,246.81,11.147,10.421,0
HAT-P-14 b,HAT-P-14,1,2,1,Transit,2010,4.62767,,15.917,1.42,1093.3352,3.44,Mass,0.11,,,,6600.0,1.82,2.65,0.11,[Fe/H],4.25,,17h20m27.88s,260.1161719,+38d14m31.81s,38.2421682,222.663,10.412,9.988,0
HAT-P-15 b,HAT-P-15,1,1,1,Transit,2010,10.8635,,11.882,1.06,616.5902,1.94,Mass,0.19,,,,5568.0,1.07,1.0,0.22,[Fe/H],4.38,,04h24m59.55s,66.248142,+39d27m38.17s,39.460602,192.516,13.022,12.41,0
HAT-P-16 b,HAT-P-16,1,3,1,Transit,2010,2.77596,0.0413,14.448,1.289,1332.605,4.193,Mass,0.036,,1626.0,F8,6158.0,1.24,1.22,0.17,[Fe/H],4.34,2.0,00h38m17.53s,9.5730343,+42d27m47.15s,42.4630961,226.637,11.38,10.911,0
HAT-P-17 b,HAT-P-17,1,1,2,Transit,2010,10.33852,,11.769,1.05,184.3414,0.58,Mass,0.35,,,,5246.0,0.87,0.99,0.0,[Fe/H],4.53,,21h38m08.63s,324.5359781,+30d29m17.48s,30.4881882,92.3831,11.331,10.375,0
HAT-P-17 c,HAT-P-17,1,1,2,Radial Velocity,2010,5584.0,5.6,,,1080.6,3.4,Msini,0.39,,,,5336.96,0.84,0.92,0.051,[M/H],4.55,,21h38m08.63s,324.5359781,+30d29m17.48s,30.4881882,92.3831,11.331,10.375,0
HAT-P-18 b,HAT-P-18,1,1,1,Transit,2010,5.508023,0.0559,11.153,0.995,62.61,0.197,Mass,0.084,,852.0,K2,4803.0,0.75,0.77,0.1,[Fe/H],4.57,12.4,17h05m23.13s,256.346376,+33d00m44.37s,33.0123251,161.4,13.662,12.597,0
HAT-P-19 b,HAT-P-19,1,1,1,Transit,2010,4.00878322,0.04599,11.299,1.008,88.03847,0.277,Mass,,154.0,981.0,,4962.0,0.77,0.81,0.166,[Fe/H],4.57,7.2,00h38m03.98s,9.5165832,+34d42m41.05s,34.7114025,202.078,13.834,12.826,0
HAT-P-2 b,HAT-P-2,1,1,2,Transit,2007,5.6335158,0.06814,,,2739.6946,8.62,Msini,0.5172,,,F8,6380.0,1.39,1.33,0.18,[Fe/H],,1.44,16h20m36.34s,245.1514324,+41d02m52.66s,41.0479601,127.774,9.15,8.72,0
HAT-P-2 c,HAT-P-2,1,1,2,Radial Velocity,2023,8500.0,,,,3400.76395,10.7,Mass,0.37,,,,,,1.33,,,,,16h20m36.34s,245.1514324,+41d02m52.66s,41.0479601,127.774,9.15,8.72,0
HAT-P-20 b,HAT-P-20,1,1,1,Transit,2010,2.875317,0.0361,9.718,0.867,2302.899,7.246,Mass,0.015,,970.0,K3,4595.0,0.69,0.76,0.35,[Fe/H],4.63,6.7,07h27m39.94s,111.9164295,+24d20m10.03s,24.3361185,71.0374,12.539,11.231,0
HAT-P-21 b,HAT-P-21,1,1,1,Transit,2010,4.12448,,12.442,1.11,1547.8321,4.87,Mass,0.23,,,,5588.0,1.21,1.24,0.01,[Fe/H],4.33,,11h25m05.98s,171.2749348,+41d01m40.87s,41.0280207,277.278,12.56,11.459,0
HAT-P-22 b,HAT-P-22,1,2,1,Transit,2010,3.21222,,12.89,1.15,785.0401,2.47,Mass,0.02,,,,5302.0,1.11,1.13,0.24,[Fe/H],4.36,,10h22m43.55s,155.6814593,+50d07m43.36s,50.1287115,81.7647,10.618,9.763,0
HAT-P-23 b,HAT-P-23,1,1,1,Transit,2010,1.212884,0.0232,15.334,1.368,664.237,2.09,Mass,0.106,,2056.0,G0,5905.0,1.2,1.13,0.15,[Fe/H],4.33,4.0,20h24m29.74s,306.1239076,+16d45m43.73s,16.7621462,364.813,13.051,11.937,0
HAT-P-24 b,HAT-P-24,1,2,1,Transit,2010,3.35524,,14.572,1.3,238.3725,0.75,Mass,0.07,,,,6373.0,1.38,1.37,-0.16,[Fe/H],4.27,,07h15m18.03s,108.8251171,+14d15m45.38s,14.2626064,415.344,12.208,11.762,0
HAT-P-25 b,HAT-P-25,1,1,1,Transit,2010,3.65281514,0.0466,12.722,1.135,180.84527,0.569,Mass,0.023,325.0,1182.0,,5519.0,0.92,1.01,0.294,[Fe/H],4.52,,03h13m44.51s,48.4354731,+25d11m50.48s,25.1973548,300.384,14.094,13.146,0
HAT-P-26 b,HAT-P-26,1,1,1,Transit,2010,4.23452,,7.062,0.63,22.2481,0.07,Mass,0.12,,,,5079.0,0.87,1.12,-0.04,[Fe/H],4.56,,14h12m37.57s,213.1565508,+04d03m33.90s,4.0594175,141.837,12.326,11.757,0
HAT-P-27 b,HAT-P-27,1,2,1,Transit,2011,3.039577,0.04,11.43,1.02,197.05,0.62,Mass,0.0,,,,5316.0,0.86,0.92,0.3,[M/H],4.53,,14h51m04.16s,222.7673221,+05d56m50.51s,5.9473626,199.173,13.046,12.052,0
HAT-P-28 b,HAT-P-28,1,1,1,Transit,2011,3.257215,0.0434,13.585,1.212,198.953,0.626,Mass,0.051,,1384.0,G3,5680.0,1.1,1.02,0.12,[Fe/H],4.36,6.1,00h52m00.22s,13.0009159,+34d43m42.25s,34.728402,401.319,13.825,13.098,0
HAT-P-29 b,HAT-P-29,1,2,1,Transit,2011,5.72319,,13.115,1.17,279.6904,0.88,Mass,0.09,,,,6087.0,1.3,1.45,0.21,[Fe/H],4.34,,02h12m31.46s,33.1310921,+51d46m43.59s,51.7787754,313.576,12.301,11.825,0
HAT-P-3 b,HAT-P-3,1,2,1,Transit,2007,2.8997,,10.536,0.94,206.5895,0.65,Mass,0.0,,,,5185.0,0.87,1.06,0.27,[Fe/H],4.56,,13h44m22.56s,206.0940142,+48d01m42.83s,48.028565,134.554,12.526,11.856,0
HAT-P-30 b,HAT-P-30,1,2,1,Transit,2011,2.8106,,16.141,1.44,263.7989,0.83,Mass,0.04,,,,6304.0,1.31,1.55,0.13,[Fe/H],4.36,,08h15m47.96s,123.9498431,+05d50m12.72s,5.8368669,213.985,10.952,10.352,0
HAT-P-31 b,HAT-P-31,1,1,1,Transit,2011,5.00542,,12.218,1.09,721.4741,2.27,Mass,0.25,,,,6065.0,1.39,1.31,0.15,[Fe/H],4.26,,18h06m09.04s,271.5376722,+26d25m35.78s,26.4266061,344.05,12.019,11.667,0
HAT-P-32 b,HAT-P-32,1,2,1,Transit,2011,2.1500082,0.03397,22.194,1.98,216.1244,0.68,Mass,0.159,1841.0,1836.0,,6001.0,1.37,1.13,-0.16,[Fe/H],4.22,,02h04m10.26s,31.0427614,+46d41m16.26s,46.6878512,289.205,11.794,11.439,0
HAT-P-33 b,HAT-P-33,1,2,1,Transit,2011,3.47447,,20.737,1.85,292.4036,0.92,Mass,0.0,,,,6446.0,1.79,1.82,0.05,[Fe/H],4.15,,07h32m44.22s,113.1842383,+33d50m06.08s,33.8350214,396.11,11.666,11.032,0
HAT-P-34 b,HAT-P-34,1,1,1,Transit,2011,5.452654,0.06774,13.417,1.197,1058.3739,3.33,Mass,0.432,,,,6442.0,1.53,1.39,0.22,,,1.7,20h12m46.90s,303.1954355,+18d06m17.20s,18.1047776,249.325,10.807,10.403,0
HAT-P-35 b,HAT-P-35,1,3,1,Transit,2011,3.646706,0.04978,14.93,1.332,335.62848,1.056,Mass,0.02,,,,6096.0,1.44,1.24,0.11,,,3.5,08h13m00.17s,123.250703,+04d47m13.30s,4.7870288,506.965,12.838,12.389,0
HAT-P-36 b,HAT-P-36,1,1,1,Transit,2011,1.32734683,0.0241,14.314,1.277,587.41341,1.8482,Mass,,,1781.0,,5620.0,1.04,1.03,,,,,12h33m03.89s,188.2662048,+44d54m55.32s,44.9153672,294.419,12.967,12.146,0
HAT-P-37 b,HAT-P-37,1,1,1,Transit,2011,2.797436,0.0379,13.204,1.178,371.528,1.169,Mass,0.058,,1271.0,,5500.0,0.88,0.93,,,,,18h57m11.05s,284.2960393,+51d16m08.84s,51.2691212,390.594,14.381,13.427,0
HAT-P-38 b,HAT-P-38,1,1,1,Transit,2012,4.640382,0.0523,9.247,0.825,84.857,0.267,Mass,0.067,,1082.0,,5330.0,0.92,0.89,,,,,02h21m32.04s,35.3834942,+32d14m45.76s,32.2460441,255.206,13.34,12.525,0
HAT-P-39 b,HAT-P-39,1,2,1,Transit,2012,3.54387,0.0509,17.609,1.571,190.372,0.599,Mass,0.0,,1752.0,,6430.0,1.62,1.4,,,,,07h35m01.98s,113.7582526,+17d49m48.10s,17.8300283,697.004,12.776,12.282,0
HAT-P-4 b,HAT-P-4,1,2,1,Transit,2007,3.056536,0.04438,14.28,1.274,213.255,0.671,Mass,0.0,,1686.0,,5860.0,,,,,,,15h19m57.89s,229.99122,+36d13m46.36s,36.229545,320.451,11.831,11.118,0
HAT-P-40 b,HAT-P-40,1,1,1,Transit,2012,4.45724,,17.038,1.52,152.5584,0.48,Mass,0.0,,,,6080.0,1.94,1.03,0.22,[Fe/H],3.93,,22h22m03.10s,335.5129199,+45d27m26.43s,45.4573423,464.469,12.192,11.34,0
HAT-P-41 b,HAT-P-41,1,2,1,Transit,2012,2.69405,,22.978,2.05,378.2177,1.19,Mass,0.0,,,,6390.0,2.05,2.56,0.21,[Fe/H],4.14,,19h49m17.44s,297.3226523,+04d40m20.68s,4.6724124,348.185,11.652,11.365,0
HAT-P-42 b,HAT-P-42,1,1,1,Transit,2012,4.641878,0.0575,14.348,1.28,331.801,1.044,Mass,0.0,,1428.0,,5743.0,1.53,1.18,0.27,[Fe/H],4.14,5.2,09h01m22.65s,135.3443583,+06d05m49.50s,6.0970828,405.238,12.827,12.125,0
HAT-P-43 b,HAT-P-43,1,1,1,Transit,2012,3.3326414,0.0444,13.63,1.216,,,,,,1353.0,,5693.0,1.08,1.03,0.2,[Fe/H],4.38,,08h35m42.17s,128.9256885,+10d12m23.71s,10.2065866,528.825,14.098,13.279,0
HAT-P-44 b,HAT-P-44,1,1,2,Transit,2014,4.301219,0.0507,13.922,1.242,111.871,0.352,Mass,0.044,,1108.0,,5295.0,0.95,0.94,0.33,[Fe/H],4.46,7.5,14h12m34.53s,213.1438604,+47d00m53.22s,47.0147826,347.85,14.136,13.225,0
HAT-P-44 c,HAT-P-44,1,1,2,Radial Velocity,2014,872.2,1.752,,,1271.3,4.0,Msini,0.494,,,,5295.0,0.95,0.94,0.33,[Fe/H],4.46,7.5,14h12m34.53s,213.1438604,+47d00m53.22s,47.0147826,347.85,14.136,13.225,0
HAT-P-45 b,HAT-P-45,1,1,1,Transit,2014,3.128992,0.0452,15.984,1.426,283.492,0.892,Mass,0.049,,1652.0,,6330.0,1.32,1.26,0.07,[Fe/H],4.3,2.0,18h17m29.58s,274.3732697,-03d22m51.81s,-3.3810594,298.64,13.746,12.783,0
HAT-P-46 b,HAT-P-46,1,1,1,Transit,2014,4.463129,0.0577,14.392,1.284,156.684,0.493,Mass,0.123,,1458.0,,6120.0,1.4,1.28,0.3,[Fe/H],4.25,2.5,18h01m46.60s,270.4441831,-02d58m15.53s,-2.97098,290.736,12.714,11.997,0
HAT-P-49 b,HAT-P-49,1,1,1,Transit,2014,2.69155,,17.822,1.59,699.226,2.2,Mass,0.0,,,,6820.0,2.06,2.22,0.07,[Fe/H],4.1,,20h21m45.92s,305.4413294,+26d41m33.63s,26.6926759,350.351,10.625,10.205,0
HAT-P-5 b,HAT-P-5,1,1,1,Transit,2007,2.78849,,13.563,1.21,311.4734,0.98,Mass,0.0,,,,5960.0,1.12,1.04,0.24,[Fe/H],4.37,,18h17m37.33s,274.4055335,+36d37m17.26s,36.6214617,303.336,12.923,11.954,0
HAT-P-50 b,HAT-P-50,1,1,1,Transit,2015,3.1220109,0.0453,14.437,1.288,429.0705,1.35,Mass,0.115,,1862.0,,6280.0,1.7,1.27,-0.18,[Fe/H],4.07,3.37,07h52m15.23s,118.0634379,+12d08m21.65s,12.1393474,515.458,12.282,11.703,0
HAT-P-51 b,HAT-P-51,1,1,1,Transit,2015,4.21802091,0.05042,13.507,1.205,97.57332,0.307,Mass,,310.0,1168.0,,5453.0,0.99,0.96,0.302,[Fe/H],4.43,8.1,01h24m15.63s,21.0651251,+32d48m38.52s,32.8107,440.089,14.261,13.51,0
HAT-P-52 b,HAT-P-52,1,1,1,Transit,2015,2.7535953,0.03694,11.31,1.009,259.98494,0.818,Mass,0.047,,1218.0,,5131.0,0.89,0.89,0.28,[Fe/H],4.48,9.4,02h50m53.22s,42.7217412,+29d01m20.10s,29.0222492,361.155,15.104,14.107,0
HAT-P-53 b,HAT-P-53,1,1,1,Transit,2015,1.9616241,0.03159,14.773,1.318,471.65972,1.484,Mass,0.134,,1778.0,,5956.0,1.21,1.09,0.0,[Fe/H],4.31,4.67,01h27m29.06s,21.8711012,+38d58m05.21s,38.9681137,666.802,14.478,13.78,0
HAT-P-54 b,HAT-P-54,1,1,1,Transit,2015,3.799847,0.04117,10.581,0.944,241.5508,0.76,Mass,0.074,,818.0,,4390.0,0.62,0.65,-0.127,[Fe/H],4.67,3.9,06h39m35.52s,99.8979924,+25d28m56.64s,25.4824005,143.651,14.832,13.398,0
HAT-P-55 b,HAT-P-55,1,1,1,Transit,2015,3.5852313,0.04628,14.841,1.324,189.42573,0.596,Mass,,583.0,1367.0,,5804.0,1.1,1.03,0.003,[Fe/H],4.36,5.3,17h37m05.64s,264.2735096,+25d43m52.13s,25.7311468,511.388,13.871,13.197,0
HAT-P-56 b,HAT-P-56,1,1,1,Transit,2015,2.79083,,16.926,1.51,734.1873,2.31,Mass,,,,,6566.0,1.47,1.42,0.0,[Fe/H],3.39,,06h43m23.52s,100.8480137,+27d15m07.86s,27.2521823,320.639,11.291,10.92,0
HAT-P-57 b,HAT-P-57,1,3,1,Transit,2015,2.4653,,19.504,1.74,448.1403,1.41,Mass,0.0,,,,6330.0,1.85,2.77,-0.25,[Fe/H],4.25,,18h18m58.42s,274.743418,+10d35m49.91s,10.5971968,279.86,10.961,10.639,0
HAT-P-58 b,HAT-P-58,1,1,1,Transit,2021,4.0138379,0.04994,14.93,1.332,118.23217,0.372,Mass,0.073,1146.0,1622.0,,6078.0,1.53,1.03,-0.224,[Fe/H],4.08,7.11,04h35m23.16s,68.8465093,+56d52m05.77s,56.8682691,515.59,13.69,12.925,0
HAT-P-59 b,HAT-P-59,1,1,1,Transit,2021,4.1419771,0.05064,12.588,1.123,489.45575,1.54,Mass,0.03,441.4,1278.0,,5678.0,1.1,1.01,0.217,[Fe/H],4.36,7.3,19h29m50.12s,292.4588212,+62d31m45.08s,62.5291892,265.471,12.852,11.64,0
HAT-P-6 b,HAT-P-6,1,1,1,Transit,2007,3.85298,,16.589,1.48,419.5356,1.32,Mass,0.0,,,,6570.0,1.62,1.79,-0.13,[Fe/H],4.22,,23h39m05.78s,354.7740917,+42d27m57.55s,42.4659866,275.358,10.884,10.469,0
HAT-P-60 b,HAT-P-60,1,1,1,Transit,2021,4.7947813,0.06277,18.282,1.631,182.43351,0.574,Mass,0.25,1634.0,1772.0,,6212.0,2.2,1.44,0.037,[Fe/H],3.91,2.765,01h53m07.82s,28.2825719,+52d03m14.12s,52.0539209,233.22,10.242,9.727,0
